"","lat","lon","agency","town","agency_url","gtfs_url"
"40",38.252665,-85.758456,"TARC Vehicle Positions","Louisville, KY, USA",NA,"http://gtfsrealtime.ridetarc.org/vehicle/VehiclePositions.pb"
"41",38.252665,-85.758456,"TARC Trip Updates","Louisville, KY, USA",NA,"http://gtfsrealtime.ridetarc.org/trip_update/TripUpdates.pb"
"42",38.252665,-85.758456,"TARC Service Alerts","Louisville, KY, USA",NA,"http://gtfsrealtime.ridetarc.org/alerts/Alerts.pb"
"43",40.654615,-73.559413,"NICE Service Alerts","Nassau, NY, USA","http://www.nicebus.com/Passenger-Information/App-Developers.aspx","http://nicebus.com/downloads/gtfs/NYC_NICE.proto"
"44",-16.920334,145.77086,"Cairns Vehicle Positions & Trip Updates","Cairns QLD, Australia","https://gtfsrt.api.translink.com.au/","https://gtfsrt.api.translink.com.au/Feed/MCS"
"45",37.774929,-122.419415,"BART Trip Updates","San Francisco, CA, USA","http://www.bart.gov/schedules/developers","http://api.bart.gov/gtfsrt/tripupdate.aspx"
"46",37.774929,-122.419415,"BART Alerts","San Francisco, CA, USA","http://www.bart.gov/schedules/developers","http://api.bart.gov/gtfsrt/alerts.aspx"
"47",27.950575,-82.457178,"HART Vehicle Positions","Tampa, FL, USA","https://github.com/Hillsborough-Transit-Authority/onebusaway-application-modules/wiki/Tampa---Third-Party-App-Interfaces","http://api.tampa.onebusaway.org:8088/vehicle-positions"
"48",27.950575,-82.457178,"HART Trip Updates","Tampa, FL, USA","https://github.com/Hillsborough-Transit-Authority/onebusaway-application-modules/wiki/Tampa---Third-Party-App-Interfaces","http://api.tampa.onebusaway.org:8088/trip-updates"
"49",37.431573,-78.656894,"VRE Trip Updates","Virginia, USA","http://www.vre.org/programs/developer.html","http://www.vre.org/gtfs-realtime/TripUpdateFeed"
"50",37.431573,-78.656894,"VRE Vehicle Positions","Virginia, USA","http://www.vre.org/programs/developer.html","http://www.vre.org/gtfs-realtime/VehiclePositionFeed"
"51",42.358431,-71.059773,"MBTA Vehicle Positions","Boston, MA, USA","http://realtime.mbta.com","http://developer.mbta.com/lib/GTRTFS/Alerts/VehiclePositions.pb"
"52",42.358431,-71.059773,"MBTA Trip Updates","Boston, MA, USA","http://realtime.mbta.com","http://developer.mbta.com/lib/GTRTFS/Alerts/TripUpdates.pb"
"53",42.358431,-71.059773,"MBTA Service Alerts","Boston, MA, USA","http://realtime.mbta.com","http://developer.mbta.com/lib/GTRTFS/Alerts/Alerts.pb"
